GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
GELDROP-MIERLO;GELDROP;01XL00;Strabrechtcollege;GELDROP-MIERLO;Strabrechtcollege Scholengemeenschap voor LYC HAVO MAVO;Grote Bos 2, 5666 AZ GELDROP;Grote Bos;2;5666 AZ;GELDROP;Algemeen bijzonder
GEMERT-BAKEL;GEMERT;25MG00;Commanderij College;GEMERT-BAKEL;Commanderij College voor gymnasium atheneum havo vmbo  en praktijkonderwijs;Sleutelbosch 2, 5421 KZ GEMERT;Sleutelbosch;2;5421 KZ;GEMERT;Algemeen bijzonder
GENNEP;GENNEP;17HN02;Elzendaalcollege;GENNEP;Elzendaalcollege Rooms Katholieke Scholengemeenschap voor Lyc Havo Mavo;Stiemensweg 40, 6591 MD GENNEP;Stiemensweg;40;6591 MD;GENNEP;Rooms-Katholiek
GOEREE-OVERFLAKKEE;MIDDELHARNIS;02IC00;Edudelta College Middelharnis;GOEREE-OVERFLAKKEE;Edudelta College Middelharnis locatie Schoolstraat afd. Techniek en Economie;Schoolstraat 11, 3241 CT MIDDELHARNIS;Schoolstraat;11;3241 CT;MIDDELHARNIS;Algemeen bijzonder
GOEREE-OVERFLAKKEE;MIDDELHARNIS;03RB00;Chr SGM Prins Maurits;GOEREE-OVERFLAKKEE;Christelijke Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo Prins Maurits;Koningin Julianaweg 57, 3241 XB MIDDELHARNIS;Koningin Julianaweg;57;3241 XB;MIDDELHARNIS;Protestants-Christelijk
GOEREE-OVERFLAKKEE;SOMMELSDIJK;11UL02;Edudelta College Sommelsdijk;GOEREE-OVERFLAKKEE;Agrarisch Opleidingen Centrum Holland Zeeland;Langeweg 107, 3245 KG SOMMELSDIJK;Langeweg;107;3245 KG;SOMMELSDIJK;Algemeen bijzonder
GOEREE-OVERFLAKKEE;MIDDELHARNIS;15QW00;RGO;GOEREE-OVERFLAKKEE;Regionale Scholengemeenschap Goeree-Overflakkee voor Vwo Havo Mavo Vmbo;Koningin Julianaweg 54, 3241 XC MIDDELHARNIS;Koningin Julianaweg;54;3241 XC;MIDDELHARNIS;Openbaar
GOES;GOES;03JY00;Calvijn College;GOES;Calvijn College voor Reformatorisch Vmbo Havo Vwo;Klein Frankrijk 19, 4461 ZN GOES;Klein Frankrijk;19;4461 ZN;GOES;Reformatorisch
GOES;GOES;05OH00;Ostrea Lyceum vwo;GOES;Ostrea Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Bergweg 4, 4461 NB GOES;Bergweg;4;4461 NB;GOES;Samenwerking PC, RK
GOES;GOES;05OH03;Ostrea Lyceum mavo havo;GOES;Ostrea Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Fruitlaan 3, 4462 EP GOES;Fruitlaan;3;4462 EP;GOES;Samenwerking PC, RK
GOES;GOES;05OH07;Ostrea Lyceum vmbo;GOES;Ostrea Lyceum voor Lyceum Havo Mavo Vbo Lwoo;'s-Heer Elsdorpweg 4, 4461 WK GOES;'s-Heer Elsdorpweg;4;4461 WK;GOES;Samenwerking PC, RK
GOES;GOES;11UL01;Edudelta;GOES;Agrarisch Opleidingen Centrum Holland Zeeland;Stationspark 39, 4462 DZ GOES;Stationspark;39;4462 DZ;GOES;Algemeen bijzonder
GOES;GOES;13OR00;Pontes;GOES;Pontes voor Lyceum Atheneum Havo Mavo Vbo Pro en Lwoo;Oranjeweg 90, 4461 LR GOES;Oranjeweg;90;4461 LR;GOES;Openbaar
GOES;GOES;13OR01;Het Goese Lyceum;GOES;Pontes voor Lyceum Atheneum Havo Mavo Vbo Pro en Lwoo;Bergweg 14, 4461 NB GOES;Bergweg;14;4461 NB;GOES;Openbaar
GOIRLE;GOIRLE;20BQ00;Mill-Hillcollege;GOIRLE;Mill-Hillcollege;Venneweg 42, 5051 BP GOIRLE;Venneweg;42;5051 BP;GOIRLE;Rooms-Katholiek
GORINCHEM;GORINCHEM;00WH00;Gomarusschool s.g.;GORINCHEM;Gomarusschool s.g.voor VMBO Havo Atheneum;Hoefslag 11, 4205 NK GORINCHEM;Hoefslag;11;4205 NK;GORINCHEM;Reformatorisch
GORINCHEM;GORINCHEM;00YH00;C S De Hoven Uilenhof;GORINCHEM;Christelijke Scholengroep De Hoven;Oude Hoven 8, 4205 AK GORINCHEM;Oude Hoven;8;4205 AK;GORINCHEM;Protestants-Christelijk
GORINCHEM;GORINCHEM;00YH03;Lyceum oudehoven;GORINCHEM;Protestants Christelijke Scholengemeenschap Oude Hoven voor Lyceum Havo Mavo Vbo;Hoefslag 4, 4205 NK GORINCHEM;Hoefslag;4;4205 NK;GORINCHEM;Protestants-Christelijk
GORINCHEM;GORINCHEM;00YH05;Gilde;GORINCHEM;Protestants Christelijke Scholengemeenschap Oude Hoven voor Lyceum Havo Mavo Vbo;Gildenweg 4, 4204 GH GORINCHEM;Gildenweg;4;4204 GH;GORINCHEM;Protestants-Christelijk
GORINCHEM;GORINCHEM;00YH06;Windroos;GORINCHEM;Protestants Christelijke Scholengemeenschap Oude Hoven voor Lyceum Havo Mavo Vbo;Koningin Wilhelminalaan 2, 4205 ET GORINCHEM;Koningin Wilhelminalaan;2;4205 ET;GORINCHEM;Protestants-Christelijk
GORINCHEM;GORINCHEM;01OE04;Wellantcollege;GORINCHEM;Wellantcollege;W. de Vries Robbeweg 27, 4206 AK GORINCHEM;W. de Vries Robbeweg;27;4206 AK;GORINCHEM;Algemeen bijzonder
GORINCHEM;GORINCHEM;19ZU00;Gem Gymn Camphusianum;GORINCHEM;Gemeentelijk Gymnasium Camphusianum;Vroedschapstraat 11, 4204 AJ GORINCHEM;Vroedschapstraat;11;4204 AJ;GORINCHEM;Openbaar
GORINCHEM;GORINCHEM;24TP00;Fortis Lyceum;GORINCHEM;Merewade College Openbare Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;Wijdschildlaan 4, 4207 EA GORINCHEM;Wijdschildlaan;4;4207 EA;GORINCHEM;Openbaar
GORINCHEM;GORINCHEM;24TP02;Omnia College;GORINCHEM;Merewade College Openbare Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;W. de Vries Robbeweg 27, 4206 AK GORINCHEM;W. de Vries Robbeweg;27;4206 AK;GORINCHEM;Openbaar
GOUDA;GOUDA;01OE28;Wellantcollege;GOUDA;Wellantcollege;Ronsseweg 555, 2803 ZK GOUDA;Ronsseweg;555;2803 ZK;GOUDA;Algemeen bijzonder
GOUDA;GOUDA;02EA00;Driestar College;GOUDA;Chr SGM op Ref Grondsl voor Pro, Lwoo, Vmbo, Havo en Vwo;Ronsseplein 1, 2803 ZV GOUDA;Ronsseplein;1;2803 ZV;GOUDA;Reformatorisch
GOUDA;GOUDA;02LG00;De Meander, Carmelcollege Gouda;GOUDA;;Groen van Prinsterersingel 49, 2805 TD GOUDA;Groen van Prinsterersingel ;49;2805 TD;GOUDA;Rooms-Katholiek
GOUDA;GOUDA;02LG06;Antoniuscollege, Carmelcollege Gouda;GOUDA;Carmelcollege Gouda voor tto gym ath havo mavo vmbo lwoo eoa;John Mottstraat 2, 2806 HP GOUDA;John Mottstraat;2;2806 HP;GOUDA;Rooms-Katholiek
GOUDA;GOUDA;13WH00;GSG Leo Vroman;GOUDA;De Goudse Scholengemeenschap voor VMBO-TL, HAVO en VWO Leo Vroman;Willem de Zwijgersingel 5, 2805 BP GOUDA;Willem de Zwijgersingel;5;2805 BP;GOUDA;Openbaar
GOUDA;GOUDA;14SF00;SGM De Goudse Waarden, Praktijkonderwijs;GOUDA;Christelijke Scholengemeenschap De Goudse Waarden Lyc Havo Mavo Vbo Lwoo Pro;Kanaalstraat 31, 2801 SH GOUDA;Kanaalstraat;31;2801 SH;GOUDA;Protestants-Christelijk
GOUDA;GOUDA;14SF01;SGM De Goudse Waarden, lyceum;GOUDA;Christelijke Scholengemeenschap De Goudse Waarden Lyc Havo Mavo Vbo Lwoo Pro;Heemskerkstraat 105, 2805 SN GOUDA;Heemskerkstraat;105;2805 SN;GOUDA;Protestants-Christelijk
GOUDA;#N/B;14SF03;SGM De Goudse Waarden;GOUDA;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B
GOUDA;GOUDA;20AI00;Coornhert Gymnasium;GOUDA;Coornhert Gymnasium;Jan van Renesseplein 1, 2805 GT GOUDA;Jan van Renesseplein;1;2805 GT;GOUDA;Openbaar
GRAVE;GRAVE;19RX01;Merletcollege;GRAVE;Merletcollege Lyc Havo Mavo Vbo Lwoo;Stoofweg 4, 5361 HZ GRAVE;Stoofweg;4;5361 HZ;GRAVE;Rooms-Katholiek
HAAKSBERGEN;HAAKSBERGEN;05FB00;Het Assink lyceum;HAAKSBERGEN;Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo;Bouwmeester 10, 7481 LP HAAKSBERGEN;Bouwmeester;10;7481 LP;HAAKSBERGEN;Rooms-Katholiek
HAAKSBERGEN;HAAKSBERGEN;05FB07;Het Assink lyceum;HAAKSBERGEN;;;;;;;Rooms-Katholiek
HALDERBERGE;OUDENBOSCH;06XL00;Markland College Oudenbosch;HALDERBERGE;Markland College Oudenbosch Katholieke SGM voor Gymn Ath Havo Mavo Vmbo Pro;Pagnevaartweg 7, 4731 AA OUDENBOSCH;Pagnevaartweg;7;4731 AA;OUDENBOSCH;Rooms-Katholiek
HALDERBERGE;OUDENBOSCH;21CY03;Prinsentuin Oudenbosch vmbo;HALDERBERGE;AOC West Brabant, vestiging Prinsentuin Oudenbosch vmbo;Groene Woud 54-A, 4731 GV OUDENBOSCH;Groene Woud;54-A;4731 GV;OUDENBOSCH;Samenwerking PC, RK, Alg. Bijz
HARDENBERG;HARDENBERG;02UX00;Vechtdal College;HARDENBERG;Vechtdal College Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo;Burg Schuitestraat 3, 7772 BS HARDENBERG;Burg Schuitestraat;3;7772 BS;HARDENBERG;Samenwerking PC, RK
HARDENBERG;DEDEMSVAART;02UX01;Vechtdal College Dedemsvaart;HARDENBERG;Vechtdal College Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo;Botermanswijk 1, 7701 AW DEDEMSVAART;Botermanswijk;1;7701 AW;DEDEMSVAART;Samenwerking PC, RK
HARDENBERG;HARDENBERG;12IR05;Sgm de Nieuwe Veste;HARDENBERG;Scholengemeenschap de Nieuwe Veste voor Lyceum Havo Mavo Vbo Lwoo;Piet Heinstraat 1, 7772 ZJ HARDENBERG;Piet Heinstraat;1;7772 ZJ;HARDENBERG;Openbaar
HARDENBERG;DEDEMSVAART;17BZ04;De Zeven Linden;HARDENBERG;Scholengemeenschap van de Capellen voor ATH HAVO MAVO VBO LWOO;Langewijk 166, 7701 AK DEDEMSVAART;Langewijk;166;7701 AK;DEDEMSVAART;Openbaar
HARDENBERG;HARDENBERG;17VS03;Greijdanus College;HARDENBERG;Prof dr S Greijdanus College voor Vwo Havo Mavo Vbo Lwoo;Burg Schuitestraat 7-A, 7772 BS HARDENBERG;Burg Schuitestraat;7-A;7772 BS;HARDENBERG;Gereformeerd
HARDERWIJK;HARDERWIJK;02EX00;Morgen College, De Sypel;HARDERWIJK;Morgen College christelijke scholengemeenschap voor vmbo;De Sypel 2, 3842 AE HARDERWIJK;De Sypel;2;3842 AE;HARDERWIJK;Samenwerking PC, RK
HARDERWIJK;HARDERWIJK;02EX05;Morgen College, Westeinde;HARDERWIJK;Christelijke Scholengemeenschap voor VMBO Harderwijk;Westeinde 31, 3844 DD HARDERWIJK;Westeinde;31;3844 DD;HARDERWIJK;Samenwerking PC, RK
HARDERWIJK;HARDERWIJK;02FB00;Christelijk College Nassau-Veluwe;HARDERWIJK;Christelijk College Nassau-Veluwe;Stationslaan 26, 3842 LA HARDERWIJK;Stationslaan;26;3842 LA;HARDERWIJK;Samenwerking PC, RK
HARDERWIJK;HARDERWIJK;17CK00;RSG Slingerbos/Levant;HARDERWIJK;Regionale Scholengemeenschap Slingerbos/Levant voor Ath Havo Mavo;Eisenhowerlaan 59, 3844 AS HARDERWIJK;Eisenhowerlaan;59;3844 AS;HARDERWIJK;Openbaar
HARDINXVELD-GIESSENDAM;HARDINXVELD-GIESSENDAM;00YH02;Calvijn;HARDINXVELD-GIESSENDAM;Protestants Christelijke Scholengemeenschap Oude Hoven voor Lyceum Havo Mavo Vbo;Bellefleur 2, 3371 NA HARDINXVELD-GIESSENDAM;Bellefleur;2;3371 NA;HARDINXVELD-GIESSENDAM;Protestants-Christelijk
HARDINXVELD-GIESSENDAM;HARDINXVELD-GIESSENDAM;20AE01;Willem De Zwijger College;HARDINXVELD-GIESSENDAM;Willem De Zwijger College voor Ath Havo en Vmbo;Bellefleur 4, 3371 NA HARDINXVELD-GIESSENDAM;Bellefleur;4;3371 NA;HARDINXVELD-GIESSENDAM;Openbaar
HEERDE;HEERDE;00MP00;De Noordgouw;HEERDE;Christelijk College De Noordgouw;Eperweg 34-A, 8181 EW HEERDE;Eperweg;34-A;8181 EW;HEERDE;Protestants-Christelijk
HELLENDOORN;NIJVERDAL;02XJ00;Chr SGM Reggesteyn;HELLENDOORN;Reggesteyn Christelijke Scholengemeenschap voor Pro-Vmbo-Havo-Atheneum-Gymnasiu;Noetselerbergweg 20, 7441 BK NIJVERDAL;Noetselerbergweg;20;7441 BK;NIJVERDAL;Protestants-Christelijk
HELLEVOETSLUIS;HELLEVOETSLUIS;12RB00;Scholengemeenschap Helinium;HELLEVOETSLUIS;SG Helinium voor Atheneum Havo Mavo Vbo Lwoo;Fazantenlaan 1, 3222 AM HELLEVOETSLUIS;Fazantenlaan;1;3222 AM;HELLEVOETSLUIS;Openbaar
HELLEVOETSLUIS;#N/B;20FR06;PENTA Jacob van Liesveldt;HELLEVOETSLUIS;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B
HELMOND;HELMOND;00NE00;Jan van Brabant College Deltaweg;HELMOND;Jan van Brabant College vestiging Deltaweg;Deltaweg 205, 5709 AB HELMOND;Deltaweg;205;5709 AB;HELMOND;Openbaar
HELMOND;HELMOND;14LF00;Jan van Brabant College Molenstraat;HELMOND;Jan van Brabant College vestiging Molenstraat;Molenstraat 191, 5701 KD HELMOND;Molenstraat;191;5701 KD;HELMOND;Openbaar
HELMOND;HELMOND;20JX00;Vakcollege Helmond ;HELMOND;OMO Scholengroep Helmond;Keizerin Marialaan 4, 5702 NR HELMOND;Keizerin Marialaan;4;5702 NR;HELMOND;Rooms-Katholiek
HELMOND;HELMOND;20JX02;Carolus Borromeus College;HELMOND;OMO Scholengroep Helmond;Markesingel 2, 5707 DJ HELMOND;Markesingel;2;5707 DJ;HELMOND;Rooms-Katholiek
HELMOND;HELMOND;20JX04;Dr.-Knippenbergcollege;HELMOND;OMO Scholengroep Helmond;Nachtegaallaan 40, 5702 KN HELMOND;Nachtegaallaan;40;5702 KN;HELMOND;Rooms-Katholiek
HENGELO;HENGELO OV;18CR00;Lyceum De Grundel;HENGELO;#N/B;Grundellaan 36, 7552 ED Hengelo;#N/B;#N/B;#N/B;#N/B;#N/B
HENGELO;HENGELO OV;18CR02;Avila College;HENGELO;#N/B;Deurningerstraat 67, 7557 HB Hengelo;#N/B;#N/B;#N/B;#N/B;#N/B
HENGELO;HENGELO OV;19HG07;Twickel College;HENGELO;Scholengemeenschap Twickel voor ATH HAVO MAVO VBO;M.A. de Ruyterstraat 3, 7556 CW HENGELO OV;M.A. de Ruyterstraat;3;7556 CW;HENGELO OV;Rooms-Katholiek
HENGELO;HENGELO OV;19HG08;de Spindel, Europalaan;HENGELO;Scholengemeenschap Twickel voor ATH HAVO MAVO VBO;Europalaan 204, 7559 SC HENGELO OV;Europalaan;204;7559 SC;HENGELO OV;Rooms-Katholiek
HENGELO;HENGELO OV;19HG09;De Spindel, Bataafse Kamp;HENGELO;Scholengemeenschap Twickel voor ATH HAVO MAVO VBO;Bataafse Kamp 6-7, 7551 HN HENGELO OV;Bataafse Kamp;6-7;7551 HN;HENGELO OV;Rooms-Katholiek
HENGELO;HENGELO OV;19HG10;De Spindel, Krugerstraat;HENGELO;Scholengemeenschap Twickel voor ATH HAVO MAVO VBO;Paul Krugerstraat 49, 7551 GW HENGELO OV;Paul Krugerstraat;49;7551 GW;HENGELO OV;Rooms-Katholiek
HENGELO;HENGELO OV;20CS00;Bataafs Lyceum;HENGELO;OSG Hengelo voor LYC HAVO MAVO VBO LWOO;Sloetsweg 155, 7556 HM HENGELO OV;Sloetsweg;155;7556 HM;HENGELO OV;Openbaar
HENGELO;HENGELO OV;20CS04;Gilde College;HENGELO;OSG Hengelo voor LYC HAVO MAVO VBO LWOO;Bandoengstraat 7, 7556 TE HENGELO OV;Bandoengstraat;7;7556 TE;HENGELO OV;Openbaar
HENGELO;HENGELO OV;20CS07;Montessori College Twente;HENGELO;OSG Hengelo voor LYC HAVO MAVO VBO LWOO;Sloetsweg 153, 7556 HM HENGELO OV;Sloetsweg;153;7556 HM;HENGELO OV;Openbaar
HEUSDEN;DRUNEN;16VK03;d' Oultremontcollege;HEUSDEN;OMO Scholengroep De Langstraat;Dillenburgstraat 46, 5151 GL DRUNEN;Dillenburgstraat;46;5151 GL;DRUNEN;Rooms-Katholiek
HOF VAN TWENTE;GOOR;19FF04;SGM De Waerdenborch;HOF VAN TWENTE;De Waerdenborch Scholengemeenschap voor Ath Havo Mavo Vbo (Disl);Gruttostraat 1, 7471 EP GOOR;Gruttostraat;1;7471 EP;GOOR;Openbaar
HOUTEN;HOUTEN;01OE37;Wellantcollege;HOUTEN;Wellantcollege;Randhoeve 2, 3992 XH HOUTEN;Randhoeve;2;3992 XH;HOUTEN;Algemeen bijzonder
HOUTEN;HOUTEN;22NE00;College De Heemlanden;HOUTEN;College de Heemlanden School voor havo en atheneum;De Slinger 48, 3995 DE HOUTEN;De Slinger;48;3995 DE;HOUTEN;Samenwerking PC, RK, Alg. Bijz
HOUTEN;HOUTEN;30BE00;Houtens;HOUTEN;Houtens;Kruisboog 1, 3994 AE HOUTEN;Kruisboog;1;3994 AE;HOUTEN;Algemeen bijzonder
HULST;HULST;25FX00;Reynaert College;HULST;Rooms Katholieke Scholengemeenschap Reynaert College Lyceum Havo Mavo Vbo Lwoo;Zoutestraat 61-A, 4561 XA HULST;Zoutestraat;61-A;4561 XA;HULST;Rooms-Katholiek
IJSSELSTEIN;IJSSELSTEIN UT;00VY04;RK SGM Cals College;IJSSELSTEIN;Cals College RK SGM voor Lyceum Havo Mavo Vbo;Hoge Dijk 1, 3401 RD IJSSELSTEIN UT;Hoge Dijk;1;3401 RD;IJSSELSTEIN UT;Rooms-Katholiek
KAAG EN BRAASSEM;ROELOFARENDSVEEN;21GW01;Bonaventuracollege;KAAG EN BRAASSEM;Bonaventuracollege SGM voor Gym. Ath. Havo. Vmbo;Schoolbaan 1, 2371 VJ ROELOFARENDSVEEN;Schoolbaan;1;2371 VJ;ROELOFARENDSVEEN;Rooms-Katholiek
KAMPEN;KAMPEN;01XN00;Almere College;KAMPEN;Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;Marinus Postlaan 1, 8264 PB KAMPEN;Marinus Postlaan;1;8264 PB;KAMPEN;Openbaar
KAMPEN;KAMPEN;01XN02;Almere College locatie Via ;KAMPEN;Almere College Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;Flevoweg 68, 8265 PL KAMPEN;Flevoweg;68;8265 PL;KAMPEN;Openbaar
KAMPEN;KAMPEN;02VB00;Ichthus College 1;KAMPEN;Ichthus College Scholengemeenschap voor Lyceum, Havo, Vmbo, Lwoo;Jan Ligthartstraat 1, 8265 CJ KAMPEN;Jan Ligthartstraat;1;8265 CJ;KAMPEN;Protestants-Christelijk
KAMPEN;KAMPEN;02VB01;Ichthus College 5;KAMPEN;Ichthus College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Jan Ligthartstraat 5, 8265 CJ KAMPEN;Jan Ligthartstraat;5;8265 CJ;KAMPEN;Protestants-Christelijk
KAMPEN;KAMPEN;02VB07;Ichthus College 4 locatie Via;KAMPEN;Ichthus College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Flevoweg 68, 8265 PL KAMPEN;Flevoweg;68;8265 PL;KAMPEN;Protestants-Christelijk
KAMPEN;KAMPEN;23VL00;SGM Pieter Zandt;KAMPEN;Scholengemeenschap Pieter Zandt voor Vwo Havo Vmbo Pro;Kamperstraatweg 1-A, 8265 PA KAMPEN;Kamperstraatweg;1-A;8265 PA;KAMPEN;Reformatorisch
KAPELLE;KAPELLE;29ZT00;Isaac Beeckman Academie;KAPELLE;SvPO Kapelle - Isaac Beeckman Academie voor vwo en havo;Stationsstraat 51, 4421 AK KAPELLE;Stationsstraat;51;4421 AK;KAPELLE;RK,PC,GV,RE,EV,AN,HI,I,J,AB
KRIMPEN AAN DEN IJSSEL;KRIMPEN AAN DEN IJSSEL;14WL00;Krimpenerwaard College;KRIMPEN AAN DEN IJSSEL;Krimpenerwaard College voor Lyceum Havo Mavo;Groene Wetering 1, 2922 CX KRIMPEN AAN DEN IJSSEL;Groene Wetering;1;2922 CX;KRIMPEN AAN DEN IJSSEL;Algemeen bijzonder
KRIMPEN AAN DEN IJSSEL;KRIMPEN AAN DEN IJSSEL;19GY04;Comenius College Krimpen;KRIMPEN AAN DEN IJSSEL;Comenius College Chr. SGM voor vwo havo vmbo lwoo, loc. Krimpen;Boezemdreef 1, 2922 BA KRIMPEN AAN DEN IJSSEL;Boezemdreef;1;2922 BA;KRIMPEN AAN DEN IJSSEL;Protestants-Christelijk
KRIMPENERWAARD;LEKKERKERK;02EA02;Driestar College;KRIMPENERWAARD;Chr SGM op Ref Grondsl v Lyc Havo Mavo Vbo Lwoo;Berlagestraat 2, 2941 GC LEKKERKERK;Berlagestraat;2;2941 GC;LEKKERKERK;Reformatorisch
KRIMPENERWAARD;SCHOONHOVEN;05TA00;CSG Willem De Zwijger;KRIMPENERWAARD;Christelijke Scholengemeenschap voor Atheneum Havo Mavo Willem De Zwijger;Kamerlingh Onnesdreef 4, 2871 JN SCHOONHOVEN;Kamerlingh Onnesdreef;4;2871 JN;SCHOONHOVEN;Protestants-Christelijk
KRIMPENERWAARD;SCHOONHOVEN;15OM00;Het Schoonhovens College;KRIMPENERWAARD;Het Schoonhovens College;Albert Plesmanstraat 4, 2871 HJ SCHOONHOVEN;Albert Plesmanstraat;4;2871 HJ;SCHOONHOVEN;Openbaar
KRIMPENERWAARD;SCHOONHOVEN;15OM01;Het Schoonhovens College, Vlisterweg;KRIMPENERWAARD;Het Schoonhovens College;Vlisterweg 22, 2871 VH SCHOONHOVEN;Vlisterweg;22;2871 VH;SCHOONHOVEN;Openbaar
KRIMPENERWAARD;LEKKERKERK;18TR01;Gemini Lekkerkerk;KRIMPENERWAARD;Onderwijsgroep Zuid-Hollandse Waarden locatie Gemini Lekkerkerk;Nic Beetsstraat 401, 2941 TN LEKKERKERK;Nic Beetsstraat;401;2941 TN;LEKKERKERK;Openbaar
LAARBEEK;BEEK EN DONK;25MG03;Commanderij College;LAARBEEK;Commanderij College voor gymnasium atheneum havo vmbo en praktijkonderwijs;Muzenlaan 2, 5741 NS BEEK EN DONK;Muzenlaan;2;5741 NS;BEEK EN DONK;Algemeen bijzonder
LANSINGERLAND;BERGSCHENHOEK;15KR06;Sg Wolfert van Borselen;LANSINGERLAND;Wolfert van Borselen Scholengroep;De Zijde 5, 2662 EB BERGSCHENHOEK;De Zijde;5;2662 EB;BERGSCHENHOEK;Openbaar
LANSINGERLAND;BERGSCHENHOEK;15KR12;Wolfert PRO;LANSINGERLAND;Wolfert van Borselen Scholengroep;Boterdorpseweg 19, 2661 AB BERGSCHENHOEK;Boterdorpseweg;19;2661 AB;BERGSCHENHOEK;Openbaar
LANSINGERLAND;#N/B;18CH04;Melanchthon Business School;LANSINGERLAND;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;Protestants-Christelijk
LANSINGERLAND;#N/B;18CH06;Melanchthon De Blesewic;LANSINGERLAND;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;Protestants-Christelijk
LANSINGERLAND;#N/B;18CH07;Melanchthon Bergschenhoek;LANSINGERLAND;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;Protestants-Christelijk
LANSINGERLAND;#N/B;18CH12;Melanchthon Berkroden;LANSINGERLAND;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;Protestants-Christelijk
LEERDAM;LEERDAM;17XU00;Heerenlanden College;LEERDAM;Heerenlanden College;Eksterlaan 48, 4143 AC LEERDAM;Eksterlaan;48;4143 AC;LEERDAM;Protestants-Christelijk
LEERDAM;LEERDAM;17XU01;Heerenlanden College vmbo;LEERDAM;Heerenlanden College;Joost de Jongestraat 45, 4142 AV LEERDAM;Joost de Jongestraat;45;4142 AV;LEERDAM;Protestants-Christelijk
LEIDSCHENDAM-VOORBURG;VOORBURG;00HI00;SGM Dalton Vatel;LEIDSCHENDAM-VOORBURG;Scholengemeenschap Dalton Vatel Voor Lyceum HAVO MAVO VBO LWOO;Loolaan 125, 2271 TM VOORBURG;Loolaan;125;2271 TM;VOORBURG;Algemeen bijzonder
LEIDSCHENDAM-VOORBURG;LEIDSCHENDAM;00XK00;Veurs College;LEIDSCHENDAM-VOORBURG;Veurs College Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo;Burg Kolfschotenlaan 5, 2262 EZ LEIDSCHENDAM;Burg Kolfschotenlaan;5;2262 EZ;LEIDSCHENDAM;Samenwerking PC, RK
LEIDSCHENDAM-VOORBURG;VOORBURG;00XK02;Veurs Voorburg;LEIDSCHENDAM-VOORBURG;Veurs College (nevenvestiging) Veurs Voorburg;Van Horvettestraat 3, 2274 JW VOORBURG;Van Horvettestraat;3;2274 JW;VOORBURG;Samenwerking PC, RK
LEIDSCHENDAM-VOORBURG;LEIDSCHENDAM;00XK08;'s Gravendreef College;LEIDSCHENDAM-VOORBURG;Veurs College (nevenvestiging) 's-Gravendreef College Leidschendam;Fluitpolderplein 9, 2262 ED LEIDSCHENDAM;Fluitpolderplein;9;2262 ED;LEIDSCHENDAM;Samenwerking PC, RK
LEIDSCHENDAM-VOORBURG;VOORBURG;02MU00;St Maartenscollege SGM;LEIDSCHENDAM-VOORBURG;Sint Maartenscollege Scholengemeenschap voor Vwo Havo en Mavo;Aart van der Leeuwkade 14, 2274 KX VOORBURG;Aart van der Leeuwkade;14;2274 KX;VOORBURG;Rooms-Katholiek
LEIDSCHENDAM-VOORBURG;VOORBURG;02VO00;Gymnasium Novum;LEIDSCHENDAM-VOORBURG;Gymnasium Novum;Aart van der Leeuwkade 1, 2274 KX VOORBURG;Aart van der Leeuwkade;1;2274 KX;VOORBURG;Algemeen bijzonder
LEIDSCHENDAM-VOORBURG;VOORBURG;21GU04;Corbulo College;LEIDSCHENDAM-VOORBURG;Scholengroep Esloo PC RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;V T v Serooskerkenstr 2, 2273 CB VOORBURG;V T v Serooskerkenstr;2;2273 CB;VOORBURG;Samenwerking PC, RK
LELYSTAD;LELYSTAD;00ZO00;ISG Arcus;LELYSTAD;Interconfessionele Scholengemeenschap Arcus voor Atheneum Havo Mavo Vbo Lwoo;Lindelaan 99, 8224 KR LELYSTAD;Lindelaan;99;8224 KR;LELYSTAD;Samenwerking PC, RK
LELYSTAD;LELYSTAD;18DQ00;SGM Lelystad;LELYSTAD;Scholengemeenschap Lelystad voor Ath Havo Mavo Vbo Lwoo;Kofschip 1, 8223 EZ LELYSTAD;Kofschip;1;8223 EZ;LELYSTAD;Algemeen bijzonder
