"GEMEENTENAAM.VESTIGING";"schoolnaam";"totaal.leerlingen";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"denominatie";"percentage.zittenblijvers";"percentage.opstromers"
"OUDE IJSSELSTREEK";"Almende College, Wesenthorst";"825";94,0909090909091;6,66272727272727;0;0;0;0;"Rooms-Katholiek";1,21;3,39
"OVERBETUWE";"Hendrik Pierson College";"1.102";94,6107784431138;6,63413173652695;78,6885245901639;6,36885245901639;95,6521739130435;7,00434782608696;"Protestants-Christelijk";4,99;3,27
"OVERBETUWE";"Het Westeraam";"313";97,2222222222222;6,55694444444444;0;0;0;0;"Openbaar";3,19;1,6
"OVERBETUWE";"Lyceum Elst";"629";96,7741935483871;6,6;85,7142857142857;6,55142857142857;78,9473684210526;6,64210526315789;"Openbaar";4,93;4,93
"OVERBETUWE";"Over Betuwe College";"318";89,1304347826087;6,5;91,304347826087;6,57173913043478;0;0;"Rooms-Katholiek";8,49;5,66
"RENKUM";"Dorenweerd College";"1.183";96,969696969697;6,7;91,5789473684211;6,39263157894737;92,3076923076923;6,66461538461539;"Samenwerking PC, RK, Alg. Bijz";26,88;16,23
"RHEDEN";"AOC Groenhorst";"389";96,2962962962963;6,53827160493827;0;0;0;0;"Samenwerking PC, RK";4,11;7,46
"RHEDEN";"Arentheem College, loc. Titus Brandsma";"487";90,5882352941177;6,40588235294118;0;0;0;0;"Samenwerking PC, RK";3,7;20,12
"RHEDEN";"Het Rhedens";"1.047";96;6,613;0;0;0;0;"Algemeen bijzonder";3,44;2,1
"RHENEN";"Pantarijn SGM";"286";98,4615384615385;6,60307692307692;0;0;0;0;"Openbaar";1,05;18,18
"RHENEN";"Rembrandt College";"263";96,0264900662252;6,7;0;0;0;0;"Openbaar";7,6;7,22
"ROZENDAAL";"Het Rhedens";"949";0;0;83,0188679245283;6,41603773584906;91,304347826087;6,83586956521739;"Algemeen bijzonder";11,7;0,95
"SINT ANTHONIS";"Metameer vmbo Stevensbeek";"356";99,4949494949495;6,6969696969697;0;0;0;0;"Rooms-Katholiek";0,84;3,09
"SINT ANTHONIS";"Metameer Stevensbeek";"941";0;0;88,6363636363636;6,43295454545455;96,875;6,66875;"Rooms-Katholiek";5,53;1,91
"TIEL";"RSG Lingecollege, loc. Teisterbantlaan";"1.145";91,98606271777;6,49965156794425;0;0;0;0;"Openbaar";5,07;3,32
"TIEL";"RSG Lingecollege, loc. Heiligestraat";"1.851";0;0;87,5706214689266;6,44406779661017;87,2340425531915;6,81489361702128;"Openbaar";10,43;5,51
"UTRECHTSE HEUVELRUG";"Revius Lyceum Doorn";"1.533";100;6,9;86,6666666666667;6,41333333333333;91,0714285714286;6,76845238095238;"Protestants-Christelijk";4,37;4,44
"UTRECHTSE HEUVELRUG";"Schoonoord Doorn ";"331";90,1639344262295;6,7;0;0;0;0;"Openbaar";2,72;3,93
"UTRECHTSE HEUVELRUG";"Vakcollege Maarsbergen";"420";100;6,72983870967742;0;0;0;0;"Openbaar";1,43;7,62
"VEENENDAAL";"Christelijk Lyceum";"2.093";93,2038834951456;6,6;92,4418604651163;6,475;100;6,82659574468085;"Protestants-Christelijk";7,07;3,77
"VEENENDAAL";"CSV Veenendaal";"1.052";95,9514170040486;6,56882591093117;0;0;0;0;"Protestants-Christelijk";1,33;5,61
"VEENENDAAL";"Ichthus College";"2.037";94,5736434108527;6,6;93,2584269662921;6,49887640449438;91,9540229885057;6,78735632183908;"Protestants Christelijk/Reform";4,12;3,34
"VEENENDAAL";"Rembrandt College";"1.004";0;0;90,5882352941177;6,54705882352941;95,1219512195122;6,70975609756098;"Openbaar";5,68;1,89
"WAGENINGEN";"Pantarijn SGM";"1.685";80,3030303030303;6,3;88,4615384615385;6,43173076923077;91,044776119403;6,7910447761194;"Openbaar";6,59;6,53
"WAGENINGEN";"Pantarijn vmbo";"355";97,5609756097561;6,66707317073171;0;0;0;0;"Openbaar";2,25;15,77
"WIJCHEN";"Maaswaal College, loc. Veenseweg";"1.462";0;0;79,2857142857143;6,30928571428571;88,5416666666667;6,58645833333333;"Samenwerking PC, RK";5,34;9,23
"WIJCHEN";"Maaswaal College, loc. Oosterweg";"1.017";92,9515418502203;6,45550660792952;0;0;0;0;"Samenwerking PC, RK";4,52;1,87
"WINTERSWIJK";"Chr Coll Schaersvoorde";"200";95,4545454545455;6,6;0;0;0;0;"Protestants-Christelijk";1,5;6
"WINTERSWIJK";"Gerrit Komrij College";"1.413";96,6480446927374;6,70446927374302;95,0980392156863;6,57254901960784;92,3076923076923;6,57692307692308;"Openbaar";4,67;6,02
"ZEVENAAR";"Liemers College, loc. Heerenmäten";"971";0;0;82,258064516129;6,24354838709677;91,3978494623656;6,55806451612903;"Samenwerking PC, RK";10,81;0,82
"ZEVENAAR";"Liemers College, loc. Landeweer";"664";96,078431372549;6,61764705882353;0;0;0;0;"Samenwerking PC, RK";4,07;1,05
