BRINNUMMER;INSTELLINGSNAAM_VESTIGING;VESTIGINGSNUMMER;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL_LEERLINGEN;AANTAL_ZITTENBLIJVERS;AANTAL_AFSTROMERS;AANTAL_OPSTROMERS
04YX;Munnikenheide College voor MAVO VBO LWOO;02;RUCPHEN;0840;RUCPHEN;Noord-Brabant;389;108;3;11
05AC;Kei College voor mavo, vmbo en lwoo;00;HEERENVEEN;0074;HEERENVEEN;Friesland;245;10;3;3
05AV;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;00;OLDENZAAL;0173;OLDENZAAL;Overijssel;1350;67;7;100
05AV;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;01;OLDENZAAL;0173;OLDENZAAL;Overijssel;1304;92;62;15
05AV;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;02;OLDENZAAL;0173;OLDENZAAL;Overijssel;1465;86;45;14
05AV;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;03;LOSSER;0168;LOSSER;Overijssel;585;17;27;14
05AV;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;04;DENEKAMP;1774;DINKELLAND;Overijssel;311;1;14;3
05AX;Scholengemeenschap De Overlaat Mavo Vbo Lwoo;00;WAALWIJK;0867;WAALWIJK;Noord-Brabant;958;34;52;66
05EA;Scheepvaart en Transport College;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;334;8;0;1
05EA;Scheepvaart en Transport College;14;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;431;25;2;0
05FB;Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo;00;HAAKSBERGEN;0158;HAAKSBERGEN;Overijssel;1063;86;42;0
05FB;Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo;01;EIBERGEN;1859;BERKELLAND;Gelderland;314;5;24;0
05FB;Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo;02;NEEDE;1859;BERKELLAND;Gelderland;233;4;15;1
05FB;Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo;07;HAAKSBERGEN;0158;HAAKSBERGEN;Overijssel;490;17;3;18
05FB;Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo;08;NEEDE;1859;BERKELLAND;Gelderland;547;17;10;8
05FE;Rooms Katholieke Scholengemeenschap Thamen voor Mavo Vbo Lwoo;00;UITHOORN;0451;UITHOORN;Noord-Holland;889;40;17;56
05FF;Olympuscollege PC RK SGM voor Lyceum Havo Mavo;00;ARNHEM;0202;ARNHEM;Gelderland;1026;82;61;69
05FF;Olympuscollege PC RK SGM voor Lyceum Havo Mavo;01;ARNHEM;0202;ARNHEM;Gelderland;207;125;19;52
05FJ;Emmacollege voor Havo Mavo Vbo Lwoo;00;HEERLEN;0917;HEERLEN;Limburg;359;5;1;4
05FJ;Emmacollege voor havo mavo Vbo Lwoo;10;HEERLEN;0917;HEERLEN;Limburg;317;0;0;0
05FJ;Emmacollege voor Havo Mavo Vbo Lwoo;12;HOENSBROEK;0917;HEERLEN;Limburg;168;70;0;1
05FJ;Emmacollege voor Havo Mavo Vbo Lwoo locatie Broekland;01;HOENSBROEK;0917;HEERLEN;Limburg;429;13;0;25
05OH;Ostrea Lyceum voor Lyceum Havo Mavo Vbo Lwoo;00;GOES;0664;GOES;Zeeland;520;24;31;0
05OH;Ostrea Lyceum voor Lyceum Havo Mavo Vbo Lwoo;03;GOES;0664;GOES;Zeeland;1160;69;53;134
05OH;Ostrea Lyceum voor Lyceum Havo Mavo Vbo Lwoo;07;GOES;0664;GOES;Zeeland;441;19;13;10
05PL;Ds. Pierson College voor Mavo Havo Atheneum;00;'S-HERTOGENBOSCH;0796;S HERTOGENBOSCH;Noord-Brabant;1665;119;48;59
05RA;Veenlanden College PC SGM v Mavo Havo Atheneum;00;MIJDRECHT;0736;DE RONDE VENEN;Utrecht;1392;61;36;59
05RA;Veenlanden College PC SGM v Mavo Havo Atheneum;01;VINKEVEEN;0736;DE RONDE VENEN;Utrecht;296;10;5;28
05TA;Christelijke Scholengemeenschap voor Atheneum Havo Mavo Willem De Zwijger;00;SCHOONHOVEN;1931;KRIMPENERWAARD;Zuid-Holland;1006;34;8;95
05XJ;Het Lyceum Rotterdam voor Vwo en Havo;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;670;52;37;3
06HF;Udens College voor Lyceum Havo Mavo Vbo Lwoo;00;UDEN;0856;UDEN;Noord-Brabant;1574;140;100;9
06HF;Udens College voor Lyceum Havo Mavo Vbo Lwoo;02;UDEN;0856;UDEN;Noord-Brabant;1330;39;30;63
06SU;Ichthus College Scholengemeenschap voor Atheneum Havo Mavo;00;VEENENDAAL;0345;VEENENDAAL;Utrecht;2033;68;116;38
06WY;Griendencollege voor VMBO;00;SLIEDRECHT;0610;SLIEDRECHT;Zuid-Holland;347;13;2;2
06XL;Markland College Oudenbosch Katholieke SGM voor Gymn Ath Havo Mavo Vmbo Pro;00;OUDENBOSCH;1655;HALDERBERGE;Noord-Brabant;1134;68;28;70
07BQ;HAVO van de Trevianum Scholengroep;00;SITTARD;1883;SITTARD-GELEEN;Limburg;1232;122;43;17
07FH;Mendel College Interconfessionele Scholengemeenschap Voor Mavo Havo Vwo;00;HAARLEM;0392;HAARLEM;Noord-Holland;1825;78;37;66
07KP;Vakcollege Maarsbergen voor Mavo Vbo;00;MAARSBERGEN;1581;UTRECHTSE HEUVELRUG;Utrecht;389;11;2;18
07MU;Rodenborch-College voor Atheneum Havo Mavo;00;ROSMALEN;0796;S HERTOGENBOSCH;Noord-Brabant;1544;113;40;62
07PK;Arentheem College Interconfessionele School voor Atheneum Gymnasium Havo Vmbo;00;ARNHEM;0202;ARNHEM;Gelderland;1617;120;38;27
07PK;Arentheem College Interconfessionele School voor Atheneum Gymnasium Havo Vmbo;04;VELP GLD;0275;RHEDEN;Gelderland;38;29;0;7
07PK;Arentheem College Interconfessionele School voor Atheneum Gymnasium Havo Vmbo;07;VELP GLD;0275;RHEDEN;Gelderland;591;21;19;53
07PK;Arentheem College Interconfessionele School voor Gymnasium Atheneum Havo Vmbo;05;ARNHEM;0202;ARNHEM;Gelderland;203;5;4;2
