BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
20CL;0;Leonardo College voor Atheneum Havo Mavo;LEIDEN;546;LEIDEN;Zuid-Holland;774;74;38;42;9,56;4,91;5,43
20CM;0;Dollard College voor Lyc Havo Mavo Vbo Lwoo;WINSCHOTEN;1895;OLDAMBT;Groningen;1.157;114;74;20;9,85;6,4;1,73
20CM;1;Dollard College voor Lyc Havo Mavo Vbo Lwoo;OUDE PEKELA;765;PEKELA;Groningen;300;17;27;18;5,67;9;6
20CM;3;Dollard College voor Lyc Havo Mavo Vbo Lwoo;BELLINGWOLDE;7;BELLINGWEDDE;Groningen;185;10;16;14;5,41;8,65;7,57
20CM;7;Dollard College voor Lyc Havo Mavo Vbo Lwoo;WOLDENDORP;10;DELFZIJL;Groningen;355;12;42;12;3,38;11,83;3,38
20CM;8;Dollard College voor Lyc Havo Mavo Vbo Lwoo;WINSCHOTEN;1895;OLDAMBT;Groningen;381;17;36;14;4,46;9,45;3,67
20CM;9;Dollard College voor Lyc Havo Mavo Vbo Lwoo;WINSCHOTEN;1895;OLDAMBT;Groningen;311;18;1;2;5,79;0,32;0,64
20CM;10;Dollard College voor Lyc Havo Mavo Vbo Lwoo;WINSCHOTEN;1895;OLDAMBT;Groningen;1;1;0;0;100;0;0
20CM;13;Dollard College voor Lyc Havo Mavo Vbo Lwoo;WINSCHOTEN;1895;OLDAMBT;Groningen;104;29;0;3;27,88;0;2,88
20CN;0;Scholengroep Zaandam;ZAANDAM;479;ZAANSTAD;Noord-Holland;1.252;103;47;7;8,23;3,75;0,56
20CN;2;Scholengroep Zaandam - locatie Compaen VMBO;ZAANDAM;479;ZAANSTAD;Noord-Holland;872;17;1;40;1,95;0,11;4,59
20CP;0;NEHALENNIA Stedelijke Scholengemeenschap voor LYC HAVO MAVO VBO LWOO;MIDDELBURG;687;MIDDELBURG;Zeeland;1.137;62;25;28;5,45;2,2;2,46
20CP;4;NEHALENNIA Stedelijke Scholengemeenschap voor LYC HAVO MAVO VBO LWOO;MIDDELBURG;687;MIDDELBURG;Zeeland;1.417;71;92;41;5,01;6,49;2,89
20CQ;0;Atlas Onderwijsgroep voor gymnasium, atheneum, havo, vmbo;RIJSWIJK ZH;603;RIJSWIJK;Zuid-Holland;1.479;120;58;58;8,11;3,92;3,92
20CQ;1;Atlas Onderwijsgroep voor gymnasium, atheneum, havo, vmbo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;1.414;125;59;54;8,84;4,17;3,82
20CR;0;Openbare School voor voortgezet onderwijs Zuyderzee Lyceum;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;694;65;15;26;9,37;2,16;3,75
20CR;1;Openbare School voor voortgezet onderwijs Zuyderzee Lyceum;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;136;7;6;3;5,15;4,41;2,21
20CR;3;Openbare School voor voortgezet onderwijs Zuyderzee Lyceum;LEMMER;1940;DE FRYSKE MARREN;Friesland;407;4;24;18;0,98;5,9;4,42
20CR;5;Openbare School voor voortgezet onderwijs Zuyderzee Lyceum;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;350;16;25;5;4,57;7,14;1,43
20CR;6;Openbare School voor voortgezet onderwijs Zuyderzee Lyceum;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;165;75;0;3;45,45;0;1,82
